
filename,sgpa,cgpa 
20012414012_1800265372.html,7.07 , 
23011914018_1800265840.html,3.93 , 
23012014060_1800265840.html,5.69 , 
20012914040_1800265372.html,3.21 , 
21012614004_1800265844.html,7.31 , 
23013114025_1800265840.html,6.97 , 
20013114055_1800265370.html,6.90 , 
20011814008_1800265727.html,R , 
21013014017_1800265843.html,6.64 , 
21012414052_1800265734.html,6.86 , 
22012414029_1800265430.html,7.77 , 
21013614053_1800265844.html,7.46 , 
20013114043_1800265846.html,7.17 , 
20011614022_1800265846.html,8.67 , 
22011614053_1800265430.html,7.48 , 
21013414007_1800265843.html,7.14 , 
20012114020_1800265371.html,4.83 , 
21012214021_1800265735.html,6.5862068966 , 
22011914002_1800265842.html,8.25 , 
20012414044_1800265846.html,7.25 , 
21012814028_1800265370.html,8.17 , 
22012514030_1800265734.html,R , 
22011914005_1800265842.html,3.75 , 
22012414060_1800265842.html,8.83 , 
20012414005_1800265372.html,7.29 , 
22021914005_1800265726.html,R , 
20012614006_1800265846.html,8.42 , 
23013314090_1800265840.html,4.14 , 
22012414055_1800265430.html,7.23 , 
21013014041_1800265370.html,3.38 , 
21012114084_1800265726.html,R , 
22013514028_1800265842.html,2.83 , 
22012414005_1800265841.html,7.21 , 
22011914067_1800265734.html,7.28 , 
21013014014_1800265844.html,7.62 , 
21013214025_1800265725.html,7.0833333333 , 
21013214060_1800265842.html,6.83 , 
23013114001_1800265840.html,5.37 , 
20013114091_1800265845.html,6.80 , 
21012114114_1800265726.html,8.0714285714 , 
21012714034_1800265726.html,7.4285714286 , 
21012914028_1800265369.html,5.34 , 
20012414013_1800265372.html,7.36 , 
20012314057_1800265372.html,6.86 , 
22013614005_1800265841.html,5.34 , 
20013214034_1800265372.html,4.79 , 
22012114071_1800265842.html,7.42 , 
23012114038_1800265840.html,7.34 , 
21012114025_1800265369.html,6.57 , 
23023114010_1800265842.html,8.00 , 
20013414016_1800265844.html,5.77 , 
21013414025_1800265431.html,R , 
21013014051_1800265431.html,R , 
22012114019_1800265430.html,7.72 , 
20012214011_1800265433.html,7.50 , 
21012814035_1800265844.html,7.77 , 
21013014039_1800265431.html,R , 
22013414019_1800265842.html,5.42 , 
22013314018_1800265735.html,R , 
22012514020_1800265842.html,3.33 , 
21012314051_1800265370.html,7.10 , 
20012914013_1800265845.html,6.80 , 
22013114102_1800265735.html,7.275862069 , 
22012314004_1800265841.html,7.14 , 
21012914055_1800265843.html,7.00 , 
21012814054_1800265369.html,5.90 , 
22013214005_1800265734.html,R , 
21012614033_1800265844.html,8.23 , 
22012514052_1800265430.html,7.37 , 
21013114082_1800265844.html,5.92 , 
21012614065_1800265725.html,R , 
21013114031_1800265844.html,7.31 , 
20012214043_1800265728.html,7.3333333333 , 
22013514019_1800265735.html,9.45 , 
20012414049_1800265434.html,R , 
21011914027_1800265370.html,7.76 , 
20011814039_1800265728.html,9.1333333333 , 
21013314004_1800265735.html,7.4827586207 , 
20012314017_1800265434.html,8.15 , 
20013614041_1800265846.html,7.50 , 
23011914061_1800265840.html,8.31 , 
22012114076_1800265735.html,6.59 , 
20011715018_1800265710.html,9.2 ,8.57 
21011914034_1800265370.html,8.03 , 
21023114004_1800265726.html,7.2857142857 , 
22012114042_1800265734.html,6.79 , 
20012614021_1800265846.html,7.83 , 
20013614013_1800265728.html,6.9333333333 , 
22013214047_1800265430.html,7.55 , 
20012614030_1800265434.html,R , 
20012714060_1800265846.html,7.92 , 
20012314033_1800265434.html,7.38 , 
21012314056_1800265370.html,3.93 , 
21011814060_1800265726.html,7.8571428571 , 
20012214042_1800265434.html,R , 
21013114114_1800265841.html,4.86 , 
21012414012_1800265844.html,3.46 , 
20013514043_1800265727.html,R , 
20012614005_1800265846.html,8.25 , 
22012714031_1800265841.html,6.10 , 
22012714042_1800265735.html,7.52 , 
21012514060_1800265726.html,7.3571428571 , 
22012114092_1800265842.html,8.33 , 
20012014026_1800265728.html,8.2666666667 , 
22013314064_1800265735.html,R , 
21011914044_1800265370.html,6.86 , 
22012414005_1800265734.html,6.72 , 
22023514001_1800265432.html,7.33 , 
21023514001_1800265434.html,7.31 , 
22012514043_1800265842.html,7.83 , 
20013514007_1800265845.html,4.47 , 
22012114057_1800265842.html,8.33 , 
21013614044_1800265432.html,7.92 , 
21013514038_1800265369.html,7.53 , 
20012314010_1800265728.html,7.7333333333 , 
22012514035_1800265735.html,R , 
21012814059_1800265432.html,R , 
22012514030_1800265430.html,R , 
23011914064_1800265840.html,4.52 , 
22012114011_1800265734.html,6.72 , 
20013114062_1800265728.html,R , 
21011614034_1800265432.html,8.08 , 
20012314042_1800265846.html,7.50 , 
21012414031_1800265840.html,5.83 , 
22012214017_1800265430.html,R , 
21012014034_1800265431.html,7.28 , 
23012914051_1800265840.html,6.24 , 
23015214015_1800265840.html,4.23 , 
