file_name,cgpa,scgpa
btech/found/22010203028_1800266007.html,5.35,4.75
btech/found/21010505031_1800265902.html,4.93,5.46
btech/found/20010901005_1800265931.html,7.16,6.67
btech/found/21010101024_1800265813.html,3.46,3.67
btech/found/22010104064_1800265818.html,6.50,6.50
btech/found/20010101012_1800265934.html,7.78,7.87
btech/found/22010203002_1800266007.html,5.38,5.46
btech/found/22011303038_1800266006.html,6.13,6.13
btech/found/23010305003_1800265979.html,5.39,5.39
btech/found/20010505046_1800265532.html,4.75,4.41
btech/found/20010305022_1800265219.html,6.20,3.27
btech/found/22010203042_1800266007.html,4.94,5.46
btech/found/20011103010_1800265762.html,"Result CS-603 ,",6.36
btech/found/20010107008_1800265281.html,Result PASS,7.60
btech/found/20011203005_1800265762.html,"Result CS-602,",5.71
btech/found/20010501011_1800265930.html,6.91,6.85
btech/found/22010304061_1800265516.html,3.96,3.96
btech/found/20010301049_1800265934.html,5.18,3.83
btech/found/22010103028_1800266003.html,4.29,4.29
btech/found/22010203028_1800265587.html,"Result MA-101, ME-101 ,",4.79
btech/found/21020107005_1800265540.html,7.33,7.56
btech/found/20010603013_1800265243.html,7.61,7.81
btech/found/21020104006_1800265821.html,6.30,6.21
btech/found/21021001001_1800265934.html,7.52,6.65
btech/found/20010703003_1800265591.html,"Result CS-504 ,",7.39
btech/found/21020901019_1800265469.html,7.54,7.54
btech/found/22010103067_1800265783.html,6.54,6.46
btech/found/21010501042_1800265932.html,3.23,1.38
btech/found/21010505025_1800265395.html,5.96,5.96
btech/found/20010501013_1800265331.html,"Result CE-303 ,",6.24
btech/found/22021005022_1800265773.html,6.38,6.93
btech/found/20010603015_1800265762.html,Result PASS,6.89
btech/found/22010204004_1800265982.html,4.13,4.13
btech/found/20010501042_1800265790.html,3.44,1.15
btech/found/22021303007_1800265759.html,"Result CS-302 ,",6.25
btech/found/23010505057_1800265979.html,4.61,4.61
btech/found/22010505059_1800265771.html,6,5.83
btech/found/21010305060_1800265531.html,7.39,6.77
btech/found/22010204027_1800265815.html,4.06,3.46
btech/found/23011003007_1800266016.html,"Result EE-111 ,MA-111 ,",4.61
btech/found/20011103005_1800265762.html,Result PASS,8.71
btech/found/20010205015_1800265775.html,6.39,4.15
btech/found/20011103004_1800265243.html,5.50,1.85
btech/found/21021501005_1800265788.html,6.69,6.69
btech/found/20010301056_1800265933.html,6.79,6.41
btech/found/20010401010_1800265499.html,5.39,2.81
btech/found/22010205051_1800265771.html,7.85,7.96
btech/found/20010203028_1800265364.html,"Result MA-301 ,",7.50
btech/found/21010204003_1800265292.html,Result PASS,7.56
btech/found/22020901035_1800265931.html,7.54,7.46
btech/found/22010104047_1800265815.html,2.94,2.21
btech/found/22011503012_1800265757.html,"Result MA-101, PH-101 ,ME-101 ,CS-101 ,ME-102,",2.00
btech/found/21010501021_1800265468.html,"Result CE-303 ,",5.62
btech/found/21010301042_1800265932.html,7.43,6.62
btech/found/20010301007_1800265469.html,6.90,4.46
btech/found/22010501063_1800265786.html,7.33,7.33
btech/found/21011103004_1800266011.html,8.49206349206349,8.88461538461539
btech/found/20011203015_1800265762.html,Result PASS,8.58
btech/found/21021501006_1800265934.html,7.20,6.87
btech/found/22010101074_1800265812.html,5.35,4.25
btech/found/22010104064_1800265984.html,4.85,3.42
btech/found/21010901014_1800265786.html,7.00,7.00
btech/found/22011303009_1800265758.html,"Result MA-202, CH-101 ,EE-101 ,EC-101 ,ME-103,HS-103 ,",1.96
btech/found/22020401024_1800265813.html,8.36,8.42
btech/found/20010305014_1800265219.html,7.47,7.42
btech/found/21010505042_1800265531.html,3.23,3.73
btech/found/21010905008_1800265900.html,5.48,4.92
btech/found/21021101004_1800265499.html,5.92,5.92
btech/found/22015103018_1800265480.html,7.55,7.55
btech/found/21010401005_1800265932.html,5.39,4.58
btech/found/21010401030_1800265291.html,"Result ME-103,",6.85
btech/found/22010107008_1800265538.html,1.83,1.83
btech/found/21020107008_1800265281.html,"Result MA-401 ,TE-403 ,HS-410(EL),",4.75
btech/found/21020101004_1800265814.html,8.39,8.70
btech/found/22010205011_1800265901.html,2.88,2.19
btech/found/21010104031_1800265985.html,5.13,4.71
btech/found/21020401001_1800265814.html,8.01,8.11
btech/found/21010901006_1800265468.html,"Result CE-301 , CE-302 ,CE-303 ,",4.56
btech/found/20010104022_1800265817.html,4.81,0.92
btech/found/21010901006_1800265932.html,5.52,3.31
btech/found/20010203037_1800265243.html,8.00,8.19
btech/found/21011201007_1800265291.html,"Result EE-101 ,",7.02
btech/found/20010501038_1800265790.html,6.40,5.35
btech/found/21010304047_1800265292.html,"Result MA-202,",6.02
btech/found/21010603048_1800265238.html,6.17,6.17
btech/found/23010102049_1800266016.html,Result PASS,7.43
btech/found/21020205013_1800265532.html,6.70,7.12
btech/found/20010203028_1800265243.html,7.22,5.81
btech/found/20010505057_1800265551.html,6.54,5.73
btech/found/21021401004_1800265934.html,1.45,2.26
btech/found/20010205013_1800265774.html,6.10,5.56
btech/found/21011303012_1800266007.html,7.10,7.00
btech/found/20010401046_1800265934.html,7.02,7.70
btech/found/21021501003_1800265814.html,6.50,7.00
btech/found/21020204007_1800265988.html,6.33,7.26
btech/found/20010703002_1800266013.html,8.02325581395349,8.04347826086956
btech/found/21011303016_1800265589.html,"Result MA-301 ,HS-305, CS-301 , CS-302 ,EC-302 ,CS-303,",1.88
btech/found/20011101009_1800265499.html,7.18,6.08
